,video_name,video,t_maximum,r_maximum,p_maximum,p_wave_range,r_wave_range,t_wave_range,p_std,t_std,r_std,r_mean,p_mean,t_mean,HRV_ShanEn,HRV_HTI,HRV_ApEn,HRV_MFDFA_alpha1_Mean,HRV_SD2,HRV_HFn,HRV_CVI,HRV_Prc80NN,HRV_HF,HRV_Ca,HRV_MadNN,HRV_LFHF,HRV_SD1a,HRV_S,HRV_SD2a,HRV_Prc20NN,HRV_MedianNN,target
0,10,1,0.304966793,0.303867729,0.303361287,0.300593446,0.300582601,0.301179025,0.302031096,0.301567588,0.302032493,0.298999641,0.29795651,0.30054839,0.911528924,0.714608774,0.677244272,0.865874166,1.060026718,2.175674602,1.011948248,1.005050505,3.627621148,1.049158096,1.0,0.410145325,1.077185837,1.123119362,1.086575801,1.022222222,1.018617021,7
1,2,2,0.463791672,0.463156791,0.46258789,0.45890195,0.458871924,0.457956798,0.450558534,0.451040809,0.450569668,0.468511312,0.467389197,0.469264695,0.900129347,0.989480605,0.828077461,1.189458014,0.837870237,1.642232428,0.939025987,0.894635359,0.450490169,0.992887845,0.84375,0.572625409,0.64378409,0.536757049,0.835035569,0.899085503,0.896907216,0
2,14,3,0.173535025,0.173054033,0.172699087,0.171435163,0.171425035,0.171590069,0.175865824,0.175869889,0.175853397,0.177194227,0.176460486,0.178162498,0.892551697,0.732810164,0.422846684,0.901581107,0.904748523,1.962004236,0.988427724,1.027901726,4.489242764,0.753055051,0.923684211,0.717908027,1.020286548,0.88880361,0.762873928,1.036170213,1.021278195,2
3,15,4,0.364579612,0.367102936,0.366418069,0.362371231,0.362476371,0.359213718,0.361791678,0.35872887,0.361760662,0.369620518,0.368458794,0.368276512,0.911418657,0.728547672,0.731924895,0.97647028,0.820520462,0.886362793,0.957134756,0.948635094,0.717086987,0.785177217,0.8125,1.22286445,0.716231104,0.652117902,0.72641668,0.95086202,0.946859903,5
4,0,5,0.448406404,0.447229683,0.446739506,0.443626959,0.443525583,0.443794204,0.455058264,0.455848974,0.455074086,0.454088558,0.452918681,0.454329381,1.007655362,1.121201657,0.743647822,1.030025289,1.302217182,3.581607935,1.051062313,1.0755,1.381814306,0.980382588,1.238095238,0.086450379,1.4286528,1.64359598,1.264587173,1.05136612,1.075600867,1
5,6,6,0.319728372,0.317407232,0.316912431,0.314109772,0.314084115,0.315108419,0.321362759,0.322628803,0.321424811,0.308343837,0.307331443,0.311326914,0.918385977,0.794759334,0.642802053,0.863374354,1.215947418,1.745015275,1.083625562,1.071939262,7.842670962,1.120594538,1.829861111,0.513547682,1.669242821,2.355267203,1.313944424,1.0,1.059343434,6
6,17,7,0.313416099,0.31678159,0.316184877,0.316416381,0.316573385,0.312577519,0.322380539,0.318434924,0.322466622,0.315819708,0.314716286,0.31335409,0.97999211,1.239862757,0.53126939,0.715895869,0.918232114,2.533922734,1.028610832,0.977477477,10.06821795,0.989012944,1.8,0.551986403,1.356119613,1.32861908,0.922637768,0.943368829,0.953703704,3
7,1,8,0.153393631,0.152797904,0.152464876,0.150475547,0.150523476,0.150570561,0.154988501,0.154506558,0.154981005,0.151750221,0.151139879,0.153612751,0.89467094,0.477975284,0.444697631,1.231480227,1.145214311,1.507597236,1.051033335,1.073223978,10.98167728,1.071531394,0.95,0.928085631,1.338381613,1.666374202,1.195092578,1.034482759,1.10828877,4
8,5,9,0.419585415,0.416816056,0.41627078,0.415069584,0.414980059,0.416444913,0.425252152,0.427442759,0.42530555,0.417702247,0.41652847,0.421763091,1.021495832,1.631205674,0.667327743,1.014599572,1.302254765,3.005606867,1.042089185,1.003395239,1.60251012,0.913440729,1.857142857,0.221217435,1.110372367,1.515488126,1.245340866,0.928191489,0.994845361,8
9,13,10,0.906869187,0.91819493,0.917927842,0.907494076,0.907268096,0.897312079,0.908958254,0.886655099,0.908601959,0.933877755,0.933557287,0.944873245,1.137293872,2.013817508,1.117391178,1.119720385,1.026745152,1.025619341,1.020238501,1.026053447,0.213197719,1.1044669,1.875,3.985087603,1.213350403,1.238730096,1.167405875,1.004950495,1.011011478,6
10,7,11,0.629339891,0.638287855,0.637655308,0.64005466,0.640167278,0.630170947,0.631376645,0.621674159,0.63162309,0.644240171,0.643155557,0.625809596,0.920819365,1.17289272,1.306363343,0.938264919,0.752590908,0.950651727,0.909516476,0.951729168,0.131752693,1.02915717,1.5,3.79020072,0.488389809,0.348974584,0.675651301,0.920792079,0.939613527,7
11,4,12,0.334649499,0.336673585,0.336088452,0.335844516,0.33586636,0.333373417,0.336340214,0.333656421,0.336327711,0.340219475,0.339068036,0.341329811,0.869801679,0.758080452,0.64339454,2.036038197,0.620627528,0.765336325,0.829918894,0.890410959,0.559053905,0.937694352,1.05,6.343967431,0.309894681,0.149963477,0.502074695,0.892857143,0.886792453,2
12,9,13,0.165216577,0.164193447,0.163823414,0.161663235,0.161735679,0.162307714,0.164837133,0.16598679,0.164843913,0.168174917,0.167460242,0.170083331,0.852274148,0.633333333,0.415176067,4.079788793,0.67985766,1.580669718,0.890488857,0.956398104,4.515574792,0.908769173,0.611111111,0.979796695,0.545399637,0.312014389,0.605624625,0.986842105,0.963843284,3
13,3,14,0.355557583,0.357630744,0.356975981,0.353518237,0.353577975,0.35103579,0.353124836,0.347749156,0.353117061,0.353974293,0.352742834,0.353844735,1.022999058,1.295149254,0.702528535,3.159111332,1.154103622,1.542675543,0.918146094,0.938151726,0.42889517,0.99695354,1.75,0.848626147,0.436230438,0.415631326,0.982331967,0.891428571,0.899305556,4
14,8,15,0.197347618,0.196414178,0.195996013,0.194944378,0.195011583,0.195123335,0.197982073,0.198069262,0.198051143,0.199086511,0.198326811,0.200459702,0.861317833,0.782903439,0.655623922,1.446979639,0.651852926,1.438446565,0.827938954,0.983568075,0.332912631,0.95687006,1.0,1.067745417,0.294708464,0.163011532,0.553414607,0.976960784,0.985645933,5
15,11,16,0.310900011,0.311273456,0.310723968,0.309592466,0.309699536,0.308372072,0.312113934,0.310340303,0.312125092,0.316751324,0.315654822,0.316598093,0.970279402,0.812830688,0.587586583,1.049118854,1.271384602,0.99664313,1.037774375,0.975490196,1.33539003,1.069391829,1.121794872,1.491640175,1.204283887,1.432702012,1.313894001,0.96,0.955528862,1
16,16,17,0.236769885,0.236312563,0.235843277,0.233223061,0.233200034,0.232900511,0.231341573,0.231595205,0.231367407,0.231455958,0.230573865,0.232773018,0.870951306,0.672492669,0.606707477,1.604332502,0.683475508,0.847402759,0.934400818,1.000901705,2.595906276,0.944916692,0.866071429,4.926261336,0.716136968,0.464875548,0.640888644,1.054450262,0.983763997,8
17,12,18,0.324867524,0.327692794,0.327121847,0.325774201,0.325823279,0.322021501,0.329396488,0.326476532,0.329411875,0.338953758,0.337826504,0.33798749,0.917091274,1.242559524,0.937839501,1.943339376,0.862396371,1.452222965,0.868984955,0.931662516,0.426057345,0.920500872,1.458333333,1.009257682,0.289535542,0.228544865,0.745309072,0.891625616,0.904761905,0
18,10,1,0.305319688,0.303432153,0.302988009,0.29996259,0.299944867,0.300933249,0.307274475,0.30891796,0.307266538,0.307873636,0.306976379,0.31024248,0.969916095,0.896353337,0.512555883,0.934224831,1.364679348,0.682520022,1.040972456,0.992487437,0.669210797,0.980335765,1.333333333,2.528544308,1.08474076,1.52940913,1.356193559,0.960451977,0.973262032,7
19,2,2,0.462985988,0.45937514,0.458865015,0.459631994,0.459600739,0.462172939,0.46812869,0.470932422,0.468112612,0.458195246,0.457130232,0.462905163,0.989276686,1.099616858,0.689652002,0.87335648,1.391326293,0.819318958,1.055315005,0.985148515,1.407467548,0.986652615,1.25,1.810767349,1.057091276,1.771250592,1.414715472,0.956666667,0.974867725,0
20,14,3,0.173107157,0.174443695,0.174139365,0.173849418,0.173837183,0.171909385,0.174815787,0.172705191,0.17481474,0.176849733,0.176234391,0.175876605,0.841176792,0.754586595,0.541874897,1.404673265,0.653128561,1.393351916,0.913344312,0.917431193,1.763394679,1.009251297,0.706153846,0.667019443,0.603288078,0.366030397,0.64636659,0.951351351,0.970924434,2
21,15,4,0.364103526,0.367282858,0.366757236,0.365414905,0.365451574,0.361345334,0.36297475,0.359407306,0.362984193,0.371796764,0.370815268,0.368497168,0.912549603,0.544547804,0.642745192,0.974728033,1.081377268,0.904443916,1.00115228,0.941960038,0.806334063,1.201391125,0.895833333,1.329509663,0.919396237,1.012465462,1.203021235,0.956043956,0.937668341,5
22,0,5,0.447827142,0.44684165,0.44633062,0.443732421,0.443687293,0.443676061,0.437380357,0.438795904,0.437353736,0.449481552,0.448450099,0.452584152,0.947256596,1.007558579,0.611805805,1.269054807,1.190486569,1.147789176,1.012848543,1.006645186,1.353650128,0.858424351,1.5,0.897097863,0.923858075,1.145746475,1.09592709,0.943060498,0.961325967,1
23,6,6,0.318677453,0.320285797,0.319834345,0.318043981,0.318019598,0.315547408,0.314512457,0.312725001,0.314440674,0.326098608,0.32522251,0.319198997,0.846300008,0.54473017,0.654939433,1.102418029,0.561366307,2.082149827,0.846058408,0.831279621,0.685916053,0.954375113,0.621428571,0.373424122,0.34347347,0.170006665,0.532605391,0.885057471,0.866764133,6
24,17,7,0.317397759,0.316503191,0.316053136,0.312591291,0.31255107,0.312561285,0.316117036,0.3144514,0.316083319,0.323313312,0.322399676,0.323701742,0.89153248,0.700501253,0.681846543,0.995773675,0.951056459,1.768496021,1.036516386,0.956410256,7.918208263,1.0336942,0.911764706,0.655188437,1.829184601,1.719716926,0.935753411,0.971098266,0.965846995,3
25,1,8,0.153390614,0.154381085,0.154108738,0.152598049,0.152576622,0.15106059,0.1530723,0.151581025,0.153064438,0.158662052,0.158096891,0.157712665,0.882698838,0.735165642,0.453349428,0.860166962,0.922282098,1.17204988,0.959164762,0.915238095,2.939157025,0.963196832,1.1,1.122666334,0.680456218,0.638034916,0.899426336,0.901098901,0.922680412,4
26,5,9,0.418365103,0.419971863,0.419467085,0.418245978,0.418197177,0.415569907,0.429916575,0.428374241,0.429903951,0.434172977,0.433131277,0.432414942,0.906244684,0.735529378,0.626939352,1.16212959,0.813511247,0.803211154,0.958760162,0.957073171,1.405373676,0.935267314,0.916666667,1.553212501,0.796944511,0.63724559,0.78297159,0.953714286,0.931578947,8
27,13,10,0.908042268,0.907703189,0.907606449,0.901231996,0.911974765,0.911955487,0.889419518,0.901544296,0.901626265,0.877255534,0.88871848,0.878077004,0.977973488,0.75206044,1.029564305,0.725955159,0.813979549,0.946694083,0.975751296,0.950212766,1.060654117,0.962416298,0.767267267,1.34783807,0.899373534,0.75963344,0.800223816,0.991288864,0.988179669,6
28,7,11,0.635608603,0.634607514,0.63406688,0.629608295,0.629593054,0.62964944,0.638637371,0.638649238,0.638605646,0.628215699,0.627201114,0.630179878,0.936161036,0.731829574,0.951108195,1.149115876,1.003486948,1.166794869,0.999222975,0.985989492,1.271079728,1.063358183,0.727513228,0.728140381,0.989606793,0.991599927,1.043088826,0.990900912,0.970488202,7
29,4,12,0.335328427,0.337253545,0.336812842,0.335465761,0.333860348,0.33096186,0.332925767,0.328734046,0.331327649,0.342060506,0.339446981,0.340755965,0.846063041,0.509803922,0.540239104,0.686315834,0.620218265,1.787389649,0.907669285,0.86557377,1.431814503,1.046498401,0.616666667,0.396314618,0.639987633,0.348437583,0.621003799,0.903883495,0.871111111,2
30,9,13,0.163920146,0.165430157,0.165137322,0.163498626,0.163489713,0.161389994,0.166226258,0.164118713,0.166216177,0.161556824,0.160964888,0.161639213,0.910567946,0.846842878,0.480386462,0.876962616,1.169657793,1.479498094,1.010475548,0.95,2.581303708,1.172380296,1.0,0.722771115,0.928164779,1.12208313,1.275145752,0.931578947,0.951219512,3
31,3,14,0.356747332,0.358588181,0.35808222,0.35726888,0.35726476,0.354412923,0.364897331,0.360385667,0.364895196,0.366024394,0.365042735,0.367391648,0.901319991,0.6325,0.688924406,0.878956242,0.935519763,1.532364992,0.974635782,0.911056258,1.829281928,1.062484376,0.692307692,0.429130778,0.770121607,0.755178136,0.981218434,0.936784702,0.925581395,4
32,8,15,0.197391169,0.196150088,0.195808235,0.195415451,0.195410336,0.195980188,0.200615595,0.201254285,0.200622689,0.199342873,0.198639459,0.201458036,0.825707676,0.55105895,0.312963505,1.122308956,0.574023293,1.447475107,0.904056099,0.890495868,3.363561101,0.957329476,0.640625,0.451649631,0.610770123,0.33072079,0.550958707,0.938118812,0.921232877,5
33,11,16,0.309200297,0.313189131,0.312713534,0.312335508,0.312335508,0.307373536,0.314572438,0.308752037,0.314564809,0.307946506,0.306998479,0.307325807,0.884256773,0.457498384,0.537053567,0.914895835,1.268134355,1.177482059,1.049383342,0.920249247,1.95698319,1.12764897,1.176470588,0.837526135,1.102639705,1.757044348,1.402600566,0.874384236,0.905405405,1
34,16,17,0.238344901,0.236732014,0.236330169,0.235249465,0.235262544,0.23608364,0.236223007,0.236382021,0.236216394,0.235297061,0.234495737,0.23984494,0.896271607,0.848305085,0.515241173,0.624461754,1.233648741,0.416456488,1.000146657,0.913333333,0.360712647,1.224376822,1.1875,4.760510456,0.775995174,1.001684647,1.383688334,0.847449195,0.902498972,8
35,12,18,0.323871407,0.327274837,0.326777929,0.32402211,0.324042953,0.319558495,0.329149156,0.325391993,0.329161742,0.336166212,0.335198702,0.33265333,0.887455733,0.679030374,0.732467997,1.036843806,0.873546284,0.939606154,0.954537845,0.926913192,1.287929821,1.040265745,0.846153846,1.197777243,0.677534817,0.604886515,0.902602223,0.940371457,0.931818182,0
36,10,1,0.301922173,0.305129364,0.304623917,0.303073086,0.302929151,0.298792183,0.30881034,0.30429159,0.30872901,0.321248679,0.320160651,0.318542793,0.764713359,0.544337697,0.398952003,1.212258982,0.283830049,1.698971917,0.817656906,0.940455711,65.29889725,0.961012153,0.333333333,1.310662599,0.444838426,0.115089146,0.268517651,1.086152987,0.995555556,7
37,2,2,0.460816546,0.467036094,0.466440722,0.463548466,0.463463282,0.45604545,0.468695037,0.461552696,0.468580772,0.481337958,0.480031404,0.476363003,1.001995062,1.043927854,0.590453662,1.059406327,1.24227464,1.012526723,0.987777394,1.025020845,0.494851731,0.836770938,1.25,1.169864041,0.81685524,1.056889575,1.159347221,1.005577191,1.020661157,0
38,14,3,0.172636659,0.174733998,0.174293072,0.173191712,0.173184231,0.17040731,0.174782286,0.171981866,0.174742086,0.179756462,0.178928151,0.178240814,0.903220255,0.758928571,0.545216968,0.951358432,1.400215661,0.865547385,1.048861395,0.974264706,2.843537255,0.956467907,1.166666667,2.24310187,1.153287542,1.619047803,1.37838319,0.96875,0.977272727,2
39,15,4,0.368371144,0.364893241,0.364161372,0.362687966,0.362479825,0.364876487,0.366658453,0.369000507,0.36669849,0.36983327,0.368285282,0.374279167,0.887237204,0.753278123,0.489588685,1.257959767,0.935418564,0.918513537,0.978766679,0.984386617,1.611121149,1.135135246,0.833333333,2.513586387,0.883685351,0.81352684,1.046796033,1.0,0.986641221,5
40,0,5,0.447668199,0.443124964,0.442519847,0.440716417,0.440558633,0.443950165,0.447531574,0.450797036,0.447444058,0.45589497,0.454511914,0.461573983,0.969136932,1.113138686,0.709050965,1.349724168,1.429134313,1.114735194,1.038305961,0.996168582,4.635225117,1.226642593,1.166666667,0.699111528,1.027121408,1.45093498,1.668153441,0.983739837,0.996062992,1
41,6,6,0.321070717,0.318509986,0.317810306,0.314947981,0.315204618,0.316735895,0.314209208,0.315807134,0.314248911,0.319814885,0.318635032,0.323472741,0.907072073,1.02556391,0.433681983,1.338720606,0.699390229,0.97935189,0.964544977,0.964420893,4.12705375,0.896567225,1.132575758,1.431513374,0.99464759,0.696648945,0.620382771,0.959839357,0.960233687,6
42,17,7,0.315728612,0.312915325,0.312309342,0.308732183,0.30861949,0.310357955,0.312312462,0.31403454,0.312293104,0.319448949,0.318223322,0.323272363,0.955223349,0.793995859,0.171342812,1.12235557,0.552022662,1.186934088,0.905378541,0.959014556,2.520549673,0.740579165,0.857142857,1.332567357,0.666082573,0.352166823,0.433122158,0.959042304,0.95505618,3
43,1,8,0.153954774,0.152923895,0.152521,0.150406585,0.150126226,0.150539943,0.153309362,0.153607357,0.153202305,0.155986741,0.155043859,0.157598272,0.896371746,0.657054001,0.36985512,0.867819334,0.839114934,1.187087396,0.992281808,1.057034221,14.90280492,1.008299263,1.0,0.343039948,1.091051732,0.928025868,0.805330967,1.055601008,1.0546875,4
44,5,9,0.418723023,0.421004998,0.420284563,0.419625521,0.419526965,0.41607885,0.426564943,0.422991279,0.426429776,0.430706966,0.429212532,0.429152019,1.076827289,1.276595745,0.697499209,1.280504901,2.294205455,0.922660067,1.105524916,1.014869888,0.54129729,0.986840651,2.0,1.911829145,1.194583823,2.786681717,2.558131463,0.967588933,0.994252874,8
45,13,10,0.916856122,0.903436989,0.903122803,0.900955076,0.901155592,0.914495919,0.89898455,0.912028272,0.899007473,0.901468648,0.901026473,0.914868597,1.054477893,1.06122449,1.590957176,0.948458642,1.578151225,0.728123589,1.033585167,0.970517928,0.360796913,1.109985181,1.166666667,1.999346546,0.887938673,1.386807729,1.686395671,0.953468564,0.971252446,6
46,7,11,0.628271943,0.625804612,0.625089284,0.625605651,0.625641552,0.627039496,0.624867679,0.624962169,0.624842092,0.627066654,0.625745557,0.629248472,0.985262503,0.904575893,1.126123821,0.997739861,2.119841952,0.893639383,1.111109334,0.98467433,2.037282709,0.906684424,1.0,1.421994624,1.730899269,4.47701406,1.793293662,0.984210526,0.980392157,7
47,4,12,0.334275381,0.331670985,0.331411324,0.327671328,0.327251005,0.32885203,0.329014216,0.330836849,0.328976164,0.336437438,0.335105422,0.340391749,0.889960076,0.681818182,0.2017005,0.664557317,0.662832611,1.521249801,0.952050193,0.956457565,3.63566627,0.98812738,0.8125,0.296884834,0.93143712,0.616495616,0.621093931,0.968253968,0.959923664,2
48,9,13,0.165021411,0.164380357,0.163952827,0.161742606,0.161737277,0.161738139,0.163616513,0.163615337,0.163610323,0.165764526,0.164954824,0.16702601,0.864046277,0.526349614,0.368588563,0.874884231,0.857378127,1.069003196,0.985529947,0.999203187,8.011342091,0.982180849,1.0,1.568586267,1.0353772,0.864119486,0.831431614,1.001724138,1.004132231,3
49,3,14,0.354788396,0.357257879,0.356565494,0.354540826,0.354517682,0.350941946,0.361520416,0.358275757,0.361469205,0.366264711,0.364889528,0.364945354,1.013490634,1.186320346,0.546121881,1.916468384,1.893056693,0.657984124,1.066286859,0.958736059,0.708820702,1.180923019,1.5,6.803772509,0.998395891,1.9102121,2.277121989,0.929133858,0.948473282,4
50,8,15,0.197505356,0.196140867,0.195685426,0.193743115,0.193698742,0.194330355,0.19368584,0.194265822,0.193654654,0.200024558,0.19911993,0.202114054,0.907620563,0.75436115,0.272866592,1.054783362,1.057771687,0.810738091,0.984170838,0.934074074,1.586217806,1.02384578,1.4375,2.560060485,0.800279016,0.847925755,1.088745256,0.9024,0.908396947,5
51,11,16,0.310080714,0.31381865,0.313232983,0.308354032,0.308273258,0.303532666,0.306994296,0.302057045,0.306966231,0.31819739,0.316959785,0.315378352,0.988726984,0.701030928,0.70856455,1.138305557,2.060607559,0.665526906,1.059683452,0.95530303,0.179130661,1.10943076,1.535714286,3.87658844,0.843450441,1.802606809,2.35719319,0.896607431,0.942382813,1
52,16,17,0.237911974,0.23608818,0.235520911,0.233191007,0.233166738,0.234143263,0.229959488,0.230854028,0.229933434,0.243084177,0.241951692,0.245768548,0.884857064,0.797385621,0.355346298,1.44481701,0.791123363,0.889142266,0.953051021,0.973977695,2.695178639,1.472520329,1.0,1.924217142,0.914401355,0.600796452,0.962824847,0.951612903,0.976744186,8
53,12,18,0.326651217,0.325603477,0.324948253,0.322256561,0.322302464,0.322334675,0.324553141,0.32462417,0.324605314,0.321993903,0.32067118,0.324034888,1.004119,1.388888889,0.584188046,1.177576191,0.915182743,0.928724845,0.964980291,0.984962406,0.506482854,0.765653599,1.666666667,1.625168075,0.695247914,0.680680323,0.787463994,0.944444444,0.969230769,0
